phylogroup,species_type,order_phylogeny
Weissella,W. viridescens,1
Oenococcus,O. oeni,2
Convivina,C. intestini,3
Fructobacillus,Fb. fructosus,4
Leuconostoc,Lc. mesenteroides,5
Lentilactobacillus,L. buchneri,6
Secundilactobacillus,L. malefermentans,7
Levilactobacillus,L. brevis,8
Fructilactobacillus,L. fructivorans,9
Acetilactobacillus,L. jinshani,10
Apilactobacillus,L. kunkeei,11
Limosilactobacillus,L. fermentum,12
Paucilactobacillus,L. vaccinostercus,13
Furfurilactobacillus,L. rossiae,14
Lactiplantibacillus,L. plantarum,15
Pediococcus,P. acidilactici,16
Ligilactobacillus,L. salivarius,17
Liquorilactobacillus,L. mali,18
Dellaglioa,L. algidus,19
Loigolactobacillus,L. coryniformis,20
Paralactobacillus,L. selangorensis,21
Latilactobacillus,L. sakei,22
Lacticaseibacillus,L. casei,23
Agrilactobacillus,L. composti,24
Schleiferilactobacillus,L. perolens,25
Lapidilactobacillus,L. concavus,26
Companilactobacillus,L. alimentarius,27
Bombilactobacillus,L. mellifer,28
Lactobacillus,L. delbrueckii,29
Amylolactobacillus,L. amylophilus,30
Holzapfelia,L. floricola,31
